article_id,article_title,article_date,sentence,category,voice
2837,'On verge of an explosion': Policeman's killing part of spiralling West Bank violence,2024-08-11, 'On  verge  of  an  explosion':  Policeman's  killing  part  of  spiralling  West  Bank  violence  T-I-T-L-E-E-N-D.  ,palestine,
2837,'On verge of an explosion': Policeman's killing part of spiralling West Bank violence,2024-08-11, He  raises  a  handgun  and  shoots  Abdel  Nasser  dead. ,palestine,ACTIVE
2837,'On verge of an explosion': Policeman's killing part of spiralling West Bank violence,2024-08-11," They  retrieve  Abdel  Nasser's  rifle  and,  as  his  colleagues  try  to  retrieve  his  body,  continue  to  shoot  –  all  captured  on  CCTV.  ",palestine,
2837,'On verge of an explosion': Policeman's killing part of spiralling West Bank violence,2024-08-11, The  army  said  that  soldiers  had  “encountered  armed  terrorists”  and  that  “a  customs  officer  of  the  Palestinian  Authority  was  killed  during  exchanges  of  fire”. ,palestine,PASSIVE
2837,'On verge of an explosion': Policeman's killing part of spiralling West Bank violence,2024-08-11," The  young  guard  appears  to  have  had  the  misfortune  to  stumble  across  an  undercover  Israeli  operation,  during  which  he  was  shot  and  killed.  ",palestine,PASSIVE
2837,'On verge of an explosion': Policeman's killing part of spiralling West Bank violence,2024-08-11," The  young  guard  appears  to  have  had  the  misfortune  to  stumble  across  an  undercover  Israeli  operation,  during  which  he  was  shot  and  killed.  ",palestine,
2837,'On verge of an explosion': Policeman's killing part of spiralling West Bank violence,2024-08-11, “How  can  we  enforce  law  and  order  and  offer  services  to  the  people  and  protect  them  while  you’re  obstructing  my  work  and  killing  my  officers?”,palestine,ACTIVE
2837,'On verge of an explosion': Policeman's killing part of spiralling West Bank violence,2024-08-11, The  PA  health  ministry  says  more  than  600  Palestinians  have  been  killed  in  the  West  Bank  since  last  October. ,palestine,PASSIVE
2837,'On verge of an explosion': Policeman's killing part of spiralling West Bank violence,2024-08-11," At  least  18  Israelis,  including  12  security  forces  personnel,  have  also  been  killed  in  the  West  Bank. ",israel,PASSIVE
2837,'On verge of an explosion': Policeman's killing part of spiralling West Bank violence,2024-08-11," On  Saturday,  one  Israeli  was  killed  and  another  injured  when  Palestinian  gunmen  opened  fire  near  the  Israeli  settlement  of  Mehola. ",israel,PASSIVE
2837,'On verge of an explosion': Policeman's killing part of spiralling West Bank violence,2024-08-11," Later  in  the  day,  Hamas  said  it  had  carried  out  the  attack  in  retaliation  for  the  Israeli  air  strike  which  killed  dozens  of  Palestinians  sheltering  in  a  school  in  Gaza  City. ",palestine,ACTIVE
