article_id,article_title,article_date,sentence,category,voice
2907,Casualties after third Israeli strike on school in a week,2024-08-04," Dozens  of  people  have  reportedly  been  killed  in  Israeli  air  strikes  on  two  schools  in  Gaza,  according  to  Palestinian  rescuers  and  news  outlets. ",palestine,PASSIVE
2907,Casualties after third Israeli strike on school in a week,2024-08-04," Some  of  those  killed  were  displaced  people  sheltering  at  the  schools,  rescuers  said. ",palestine,ACTIVE
2907,Casualties after third Israeli strike on school in a week,2024-08-04, Palestinian  media  said  at  least  30  people  were  killed  in  the  strikes. ,palestine,PASSIVE
2907,Casualties after third Israeli strike on school in a week,2024-08-04," Mahmoud  Basal,  a  spokesman  for  the  Palestinian  Civil  Defence,  said  most  of  the  dead  were  women  and  children. ",palestine,
2907,Casualties after third Israeli strike on school in a week,2024-08-04," The  attack  on  the  al-Nasr  and  Hassan  Salama  schools  came  on  the  day  of  an  attack  on  a  camp  for  displaced  people  in  a  hospital  in  central  Gaza,  which  reportedly  killed  at  least  five  people. ",palestine,ACTIVE
2907,Casualties after third Israeli strike on school in a week,2024-08-04," On  Saturday,  officials  said  an  air  strike  on  Hamama  School  in  Gaza  City  had  killed  at  least  17  people. ",palestine,ACTIVE
2907,Casualties after third Israeli strike on school in a week,2024-08-04," Days  earlier,  a  strike  on  Dalal  al-Mughrabi  School  killed  15,  according  to  officials. ",palestine,ACTIVE
2907,Casualties after third Israeli strike on school in a week,2024-08-04," In  a  separate  development  on  Sunday  morning,  two  people  were  killed  in  a  stabbing  attack  in  the  Israeli  city  of  Holon. ",israel,PASSIVE
2907,Casualties after third Israeli strike on school in a week,2024-08-04," In  a  separate  development  on  Sunday  morning,  two  people  were  killed  in  a  stabbing  attack  in  the  Israeli  city  of  Holon. ",israel,
2907,Casualties after third Israeli strike on school in a week,2024-08-04," The  Palestinian  attacker  was  later  shot  dead,  police  said. ",palestine,PASSIVE
2907,Casualties after third Israeli strike on school in a week,2024-08-04," The  Palestinian  attacker  was  later  shot  dead,  police  said. ",palestine,
2907,Casualties after third Israeli strike on school in a week,2024-08-04," The  Israel-Gaza  war  began  on  7  October,  when  Hamas  carried  out  an  unprecedented  attack  on  Israel,  killing  about  1,200  people  and  taking  251  others  back  to  Gaza  as  hostages. ",israel,ACTIVE
2907,Casualties after third Israeli strike on school in a week,2024-08-04," The  attack  triggered  a  massive  Israeli  military  response,  which  has  killed  at  least  39,480  Palestinians  in  Gaza,  according  to  the  territory's  Hamas-run  health  ministry. ",palestine,ACTIVE
