article_id,article_title,article_date,sentence,category,voice
2888,Bowen: Gaza nurse who filmed moments after Israeli strike describes chaos and grief,2024-10-24," Every  day,  like  many  journalists  who  are  forced  to  report  the  war  from  outside  Gaza  because  Israel  will  not  let  us  in,  I  watch  many  videos  that  emerge  online,  harrowing  scenes  of  wounded,  dying  and  bereaved  people  in  hospitals,  of  men  in  the  rubble  rescuing  survivors  and  digging  out  bodies,  and  civilians  forced  to  move  by  the  Israelis,  walking  through  thick  sand  where  roads  used  to  be,  past  the  unrecognisable  ruins. ",palestine,
2888,Bowen: Gaza nurse who filmed moments after Israeli strike describes chaos and grief,2024-10-24," In  the  video,  a  paramedic  called  Nevine  al  Dawawi,  increasingly  panic-stricken,  runs  between  dead  and  dying  civilians,  using  her  phone  to  document  what  is  happening  (when  I  reported  this  first,  on  the  day  of  the  strike,  she  was  misidentified  as  Nabila.  )",palestine,
2888,Bowen: Gaza nurse who filmed moments after Israeli strike describes chaos and grief,2024-10-24," In  the  video,  a  paramedic  called  Nevine  al  Dawawi,  increasingly  panic-stricken,  runs  between  dead  and  dying  civilians,  using  her  phone  to  document  what  is  happening  (when  I  reported  this  first,  on  the  day  of  the  strike,  she  was  misidentified  as  Nabila.  )",palestine,
2888,Bowen: Gaza nurse who filmed moments after Israeli strike describes chaos and grief,2024-10-24," In  it,  she  is  agitated  and  scared,  running  between  civilians  lying  in  their  own  blood,  next  to  dead  bodies. ",israel,
2888,Bowen: Gaza nurse who filmed moments after Israeli strike describes chaos and grief,2024-10-24," On  a  stairwell  she  sees  more  casualties,  turns  away  in  horror,  picks  up  a  bag  and  says  ""let’s  go,  so  no-one  else  gets  killed"". ",palestine,PASSIVE
2888,Bowen: Gaza nurse who filmed moments after Israeli strike describes chaos and grief,2024-10-24, Nevine  told  us  that  the  woman  on  the  stairs  whose  children  were  killed  was  Lina  Ibrahim  Abu  Namos. ,palestine,PASSIVE
2888,Bowen: Gaza nurse who filmed moments after Israeli strike describes chaos and grief,2024-10-24," Two  of  Lina’s  seven  children  were  killed,  her  eldest  daughter  and  her  only  son. ",palestine,PASSIVE
2888,Bowen: Gaza nurse who filmed moments after Israeli strike describes chaos and grief,2024-10-24," When  your  eldest  dies  in  front  of  you…”“I  couldn’t  save  her,  and  I  was  also  wounded. ",palestine,ACTIVE
2888,Bowen: Gaza nurse who filmed moments after Israeli strike describes chaos and grief,2024-10-24," When  the  school  was  hit,  we  had  people  killed  and  injured. ",palestine,ACTIVE
2888,Bowen: Gaza nurse who filmed moments after Israeli strike describes chaos and grief,2024-10-24, It  was  a  big  massacre  with  over  30  wounded  and  more  than  10  killed.  ”,palestine,ACTIVE
2888,Bowen: Gaza nurse who filmed moments after Israeli strike describes chaos and grief,2024-10-24,"In  the  video,  the  wounded  and  dead  on  the  bloody  stairs  are  not  the  only  casualties. ",palestine,
2888,Bowen: Gaza nurse who filmed moments after Israeli strike describes chaos and grief,2024-10-24," “Help  him,  he’s  dead  –  it’s  Uncle  Abu  Mohammed.  ” ",palestine,ACTIVE
2888,Bowen: Gaza nurse who filmed moments after Israeli strike describes chaos and grief,2024-10-24, His  two  sons  were  also  killed…  one  had  half  his  head  gone.  ”,palestine,PASSIVE
2888,Bowen: Gaza nurse who filmed moments after Israeli strike describes chaos and grief,2024-10-24," His  mum  was  killed,  injured  in  the  heart. ",palestine,PASSIVE
2888,Bowen: Gaza nurse who filmed moments after Israeli strike describes chaos and grief,2024-10-24, ”“Some  women  who  were  taking  cover  were  also  injured  and  others  killed. ,palestine,ACTIVE
2888,Bowen: Gaza nurse who filmed moments after Israeli strike describes chaos and grief,2024-10-24," In  the  unlikely  event  that  the  Palestinians  in  the  video  ever  had  a  day  in  court,  their  lawyers  could  say  that  the  military  threat  to  the  IDF  at  that  moment  did  not  justify  wounding  30  civilians,  inflicting  life  changing  injuries,  and  killing  more  than  10  others,  including  many  children. ",palestine,ACTIVE
2888,Bowen: Gaza nurse who filmed moments after Israeli strike describes chaos and grief,2024-10-24," I  was  in  Kfar  Azza  kibbutz  when  they  were  still  recovering  the  bodies  of  dead  Israelis,  as  soldiers  checked  buildings  with  bursts  of  gunfire. ",israel,
2888,Bowen: Gaza nurse who filmed moments after Israeli strike describes chaos and grief,2024-10-24," They  wanted  us  to  see  where  Hamas  had  killed  around  1,200  Israelis,  mostly  civilians,  and  dragged  more  than  250  into  captivity  in  Gaza. ",israel,ACTIVE
