article_id,article_title,article_date,sentence,category,voice
2895,"Bowen: Sinwar's death is serious blow to Hamas, but not the end of the war",2024-10-17, Killing  Yahya  Sinwar  is  Israel's  biggest  victory  so  far  in  the  war  against  Hamas  in  Gaza. ,palestine,
2895,"Bowen: Sinwar's death is serious blow to Hamas, but not the end of the war",2024-10-17," He  was  not  killed  in  a  planned  special  forces  operation,  but  in  a  chance  encounter  with  Israeli  forces  in  Rafah  in  southern  Gaza. ",palestine,PASSIVE
2895,"Bowen: Sinwar's death is serious blow to Hamas, but not the end of the war",2024-10-17," A  photo  taken  at  the  scene  shows  Sinwar,  dressed  in  combat  gear,  lying  dead  in  the  rubble  of  a  building  that  was  hit  by  a  tank  shell. ",palestine,
2895,"Bowen: Sinwar's death is serious blow to Hamas, but not the end of the war",2024-10-17, Follow  live  updates  on  this  storyWho  was  Yahya  Sinwar?Explainer:  How  Israel  killed  Hamas  leader  Sinwar  in  a  chance  encounterWatch:  Netanyahu  says  focus  on  hostages  after  Sinwar  deathExplainer:  What  has  happened  to  Hamas'  most  prominent  leaders? ,palestine,ACTIVE
2895,"Bowen: Sinwar's death is serious blow to Hamas, but not the end of the war",2024-10-17," Neither  has  been  achieved,  despite  a  year  of  war  that  has  killed  at  least  42,000  Palestinians  and  left  much  of  Gaza  in  ruins. ",palestine,ACTIVE
2895,"Bowen: Sinwar's death is serious blow to Hamas, but not the end of the war",2024-10-17, But  the  remaining  hostages  are  not  free  and  Hamas  is  fighting  and  sometimes  killing  Israeli  troops. ,israel,ACTIVE
2895,"Bowen: Sinwar's death is serious blow to Hamas, but not the end of the war",2024-10-17, Killing  Sinwar  was  the  victory  Israel  wanted. ,palestine,
2895,"Bowen: Sinwar's death is serious blow to Hamas, but not the end of the war",2024-10-17," In  Tel  Aviv  families  of  the  remaining  101  hostages  in  Gaza  -  Israel  says  half  of  them  might  already  be  dead  -  gathered  in  the  square  in  which  they  have  been  gathering  for  a  year,  urging  the  Israeli  government  to  launch  a  new  negotiation  to  get  their  people  home. ",israel,
2895,"Bowen: Sinwar's death is serious blow to Hamas, but not the end of the war",2024-10-17, Twenty  five  Palestinians  were  killed  in  a  raid  on  northern  Gaza. ,palestine,PASSIVE
2895,"Bowen: Sinwar's death is serious blow to Hamas, but not the end of the war",2024-10-17," As  Israel  celebrates  killing  Sinwar,  Hamas  still  has  its  hostages  and  is  still  fighting. ",israel,ACTIVE
