article_id,article_title,article_date,sentence,category,voice
2943,Father says baby twins killed by Israeli strike in Gaza as he registered births,2024-08-13, Father  says  baby  twins  killed  by  Israeli  strike  in  Gaza  as  he  registered  births  T-I-T-L-E-E-N-D.  ,palestine,ACTIVE
2943,Father says baby twins killed by Israeli strike in Gaza as he registered births,2024-08-13, Newborn  twins  were  reportedly  killed  in  an  Israeli  strike  in  Gaza  while  their  father  was  at  a  local  government  office  to  register  their  birth. ,palestine,PASSIVE
2943,Father says baby twins killed by Israeli strike in Gaza as he registered births,2024-08-13, The  strike  also  killed  his  wife  and  the  twins'  grandmother. ,palestine,ACTIVE
2943,Father says baby twins killed by Israeli strike in Gaza as he registered births,2024-08-13, Gaza’s  Hamas-run  health  ministry  says  115  infants  have  been  born  and  then  killed  during  the  war. ,palestine,
2943,Father says baby twins killed by Israeli strike in Gaza as he registered births,2024-08-13," On  Saturday,  an  Israeli  air  strike  on  a  school  building  sheltering  displaced  Palestinians  in  Gaza  City  killed  more  than  70  people,  the  director  of  a  hospital  told  the  BBC. ",palestine,ACTIVE
2943,Father says baby twins killed by Israeli strike in Gaza as he registered births,2024-08-13," Israel  disputed  the  number  of  dead,  but  the  BBC  could  not  independently  verify  figures  from  either  side. ",palestine,
2943,Father says baby twins killed by Israeli strike in Gaza as he registered births,2024-08-13," Hamas-led  gunmen  killed  about  1,200  people  in  an  attack  on  Israel  on  7  October,  taking  251  others  back  to  Gaza  as  hostages. ",israel,ACTIVE
2943,Father says baby twins killed by Israeli strike in Gaza as he registered births,2024-08-13," More  than  39,790  Palestinians  have  been  killed  in  the  Israeli  campaign,  according  to  Gaza's  Hamas-run  health  ministry. ",palestine,PASSIVE
2943,Father says baby twins killed by Israeli strike in Gaza as he registered births,2024-08-13, Update  16  August:  This  article’s  headline  originally  explained  that  newborn  twins  were  killed  in  Gaza  as  their  father  went  to  register  their  birth. ,palestine,PASSIVE
2943,Father says baby twins killed by Israeli strike in Gaza as he registered births,2024-08-13, It  was  amended  to  a  longer  headline  emphasising  the  fact  that  their  father  said  they  had  been  killed  in  an  Israeli  strike. ,palestine,PASSIVE
