article_id,article_title,article_date,sentence,category,voice
3254,"Six killed in West Bank strike and settler attack, Palestinian ministry says",2024-08-27," Six  killed  in  West  Bank  strike  and  settler  attack,  Palestinian  ministry  says  T-I-T-L-E-E-N-D.  ",palestine,ACTIVE
3254,"Six killed in West Bank strike and settler attack, Palestinian ministry says",2024-08-27," At  least  five  people,  including  two  children,  have  been  killed  in  an  Israeli  air  strike  on  an  urban  refugee  camp  in  the  occupied  West  Bank,  the  Palestinian  health  ministry  says. ",palestine,PASSIVE
3254,"Six killed in West Bank strike and settler attack, Palestinian ministry says",2024-08-27," Separately,  the  health  ministry  said  one  person  had  been  shot  dead  and  three  injured  during  an  attack  by  Israeli  settlers  near  Bethlehem. ",palestine,PASSIVE
3254,"Six killed in West Bank strike and settler attack, Palestinian ministry says",2024-08-27," Separately,  the  health  ministry  said  one  person  had  been  shot  dead  and  three  injured  during  an  attack  by  Israeli  settlers  near  Bethlehem. ",palestine,
3254,"Six killed in West Bank strike and settler attack, Palestinian ministry says",2024-08-27," The  UN  said  last  Wednesday,  external  that  128  Palestinians,  including  26  children,  had  been  killed  in  Israeli  air  strikes  in  the  West  Bank  since  7  October. ",palestine,PASSIVE
3254,"Six killed in West Bank strike and settler attack, Palestinian ministry says",2024-08-27," Overall,  607  Palestinians  had  been  killed  in  the  West  Bank,  including  East  Jerusalem,  including  11  by  Israeli  settlers,  over  the  same  period,  it  added. ",palestine,PASSIVE
3254,"Six killed in West Bank strike and settler attack, Palestinian ministry says",2024-08-27," Fifteen  Israelis,  including  nine  members  of  Israeli  forces  and  five  settlers,  were  also  killed  in  attacks  by  Palestinians  in  the  West  Bank,  according  to  the  UN. ",israel,PASSIVE
3254,"Six killed in West Bank strike and settler attack, Palestinian ministry says",2024-08-27, Another  10  Israelis  were  killed  in  attacks  in  Israel  by  Palestinians  from  the  West  Bank. ,israel,PASSIVE
3254,"Six killed in West Bank strike and settler attack, Palestinian ministry says",2024-08-27," The  Palestinian  health  ministry  identified  the  five  people  killed  as  Mohannad  Qarawi,  19,  Jibril  Jibril,  20,  Adnan  Jaber,  15,  Mohammed  Yusif,  49,  and  Mohammed  Elayyan,  16. ",palestine,ACTIVE
3254,"Six killed in West Bank strike and settler attack, Palestinian ministry says",2024-08-27," In  April,  the  Palestinian  Red  Crescent  said  14  people  had  been  killed  in  a  two-day  Israeli  operation  there. ",palestine,PASSIVE
3254,"Six killed in West Bank strike and settler attack, Palestinian ministry says",2024-08-27," Later  on  Monday,  the  health  ministry  said  a  40-year-old  man  named  Khalil  Salem  Khalawi  was  shot  dead  during  an  attack  by  Israeli  settlers  in  the  Palestinian  village  of  Wadi  Rahhal,  south  of  Bethlehem. ",palestine,PASSIVE
3254,"Six killed in West Bank strike and settler attack, Palestinian ministry says",2024-08-27," Later  on  Monday,  the  health  ministry  said  a  40-year-old  man  named  Khalil  Salem  Khalawi  was  shot  dead  during  an  attack  by  Israeli  settlers  in  the  Palestinian  village  of  Wadi  Rahhal,  south  of  Bethlehem. ",palestine,
3254,"Six killed in West Bank strike and settler attack, Palestinian ministry says",2024-08-27, Israel’s  Ynet  news  website  reported  that  Mr  Khalawi  was  an  Israeli  Arab  and  that  he  was  shot  dead  by  IDF  soldiers  who  arrived  in  Wadi  Rahhal  following  a  claim  by  settlers  that  stones  had  been  thrown  at  an  Israeli  vehicle. ,both,PASSIVE
3254,"Six killed in West Bank strike and settler attack, Palestinian ministry says",2024-08-27, Israel’s  Ynet  news  website  reported  that  Mr  Khalawi  was  an  Israeli  Arab  and  that  he  was  shot  dead  by  IDF  soldiers  who  arrived  in  Wadi  Rahhal  following  a  claim  by  settlers  that  stones  had  been  thrown  at  an  Israeli  vehicle. ,both,
3254,"Six killed in West Bank strike and settler attack, Palestinian ministry says",2024-08-27," The  IDF  said  it  was  looking  into  reports,  which  come  two  weeks  after  a  Palestinian  man  was  shot  dead  during  a  settler  attack  on  the  village  of  Jit. ",palestine,PASSIVE
3254,"Six killed in West Bank strike and settler attack, Palestinian ministry says",2024-08-27," The  IDF  said  it  was  looking  into  reports,  which  come  two  weeks  after  a  Palestinian  man  was  shot  dead  during  a  settler  attack  on  the  village  of  Jit. ",palestine,
